Q,R,RMSE
0.001,2.0,0.43255236161799915
0.001,5.0,0.46133771341537444
0.001,0.5,0.4705104628990713
0.001,0.1,0.5133974578639332
0.01,2.0,0.5206639849840177
0.01,5.0,0.5346308935944639
0.001,1.0,0.5642088188957349
0.1,2.0,0.6107309757673706
0.01,1.0,0.6265664730552175
0.01,0.5,0.6289320343405644
0.1,5.0,0.6378273482761863
0.01,0.1,0.6716657238695308
0.1,1.0,0.6925540122614295
1.0,5.0,0.7561919063467845
1.0,2.0,0.7660705484779607
10.0,5.0,0.7752168002806425
1.0,1.0,0.8172427104048811
0.1,0.1,0.8261662819339903
1.0,0.5,0.8428297282836775
0.1,0.5,0.8738265470534492
10.0,2.0,0.8926578396948595
10.0,1.0,0.9374425410315518
10.0,0.5,0.9514326943083279
10.0,0.1,0.9559032088855429
1.0,0.1,0.9871449318210807
