target_x,target_y,target_z,iterations,final_err,success
0.5167,-0.1005,0.2785,19,6.540211731826028e-06,True
0.1484,-0.4869,0.213,20,5.340793376352827e-06,True
0.2011,0.2528,0.6181,21,6.2277213426480075e-06,True
0.3986,-0.1713,0.2333,19,7.049568703932062e-06,True
0.2176,0.3495,0.4714,20,9.851422307915227e-06,True
0.202,0.035,0.5058,19,9.246954948524212e-06,True
0.486,0.2133,0.3374,23,5.62057110323926e-06,True
0.0371,0.4021,0.2454,19,8.127362670922785e-06,True
0.2597,-0.3705,0.4827,21,5.588336601972425e-06,True
0.1379,-0.2619,0.302,20,5.364874954150614e-06,True
0.0406,0.3962,0.5396,19,8.791937332375372e-06,True
0.2705,-0.0259,0.5085,20,6.672457058146617e-06,True
0.2331,-0.0178,0.4454,19,8.928937228822645e-06,True
0.4837,-0.0968,0.2873,19,6.222296561027732e-06,True
0.4175,-0.2792,0.2891,20,6.3272895685077605e-06,True
0.3733,-0.1377,0.5672,20,5.211741410118554e-06,True
